-0.8 -1.5 -2 
-0.77 -1.7 -2.05
-1  -1.8  -2.1
-1.1 -1.8 -2.05
-1.2 -1.85 -2 
-1.4 -1.9 -1.9
-1.5 -1.95 -1.75
-1.72 -1.9  -1.7 
-1.73  -1.8 -1.65
-1.71 -1.75 -1.6
-1.5 -1.5 -1.6
-1.75 -1.45 -1.55
-1.7 -1.35 -1.5 
-1.65 -1.1 -1.25
-1.5  -0.95 -1.2 
-1.25 -0.65 -1.05
-1.2  -0.55 -1
-1.15 -0.5 -0.95
-1.14 -0.6  -0.9
-1.15 -0.65  -0.8
-1.08 -0.7 -0.85
-1 -0.75 -0.9
-0.8 -0.9 -0.93
-0.77 -1  -0.97
-0.75 -1.2 -0.8  
-0.7 -1.25 -0.82
-0.65 -1.3 -0.8
-0.6 -1.35 -0.83
-0.55 -1.3 -0.75
-0.45 -1.2 -0.65 
-0.35 -1 -0.57
-0.3 -0.8 -0.6 
-0.25 -0.7  -0.4
-0.15 -0.5  -0.3 
0 -0.4 -0.25  
0.2 -0.4 -0.3 
0.25 -0.3 -0.15
0.27 -0.2 -0.05
0.48 -0.15 0
0.52 -0.05 0.05
0.51 -0.05 0.3
0.5 0.2 0.4 
0.47 0.25 0.5 
0.4 0.22 0.55 
0.25 0.2 0.5 
0.05 0.19 0.65 
0  0.18   0.75
0.01 0.45  0.75
-0.05 0.5 0.5 
-0.25 0.52 0.5 
-0.45 0.75  0.7
-0.35 1 0.75
-0.25 1 0.8
-0.2 1.2 1.2 
-0.15 1.3 1.1  
0 1.45 1
0.05 1.47 0.95 
0.1 1.5 0.9
0.15 1.45 0.8
-0.05 1.36 0.72
-0.05 1.3 0.7
0 1.25 0.7
0.2 1.2 0.65
0.1 1.15 0.45  
0.15 1 0.25 
0.2 0.9 0.15
0.15 0.8 0 
0.14 0.6 -0.2 
0.25 0.4 -0.25 
0.1 0.2 -0.18
0.25 0.15 0.2 
0.22 0.2 0.35 
0.27 0.25 0.4
0.3 0.45 0.45 
0.4 0.65 0.5
0.45 0.85 0.48 
0.5 0.95 0.5 
0.6 1 0.8 
0.62 1.15 1.1   
0.6 1.15 1.15
0.7 1.1 1
0.75 1.08 0.9  
1 1.07 0.8
1.1 1.08 0.9 
1.2 1.07 1.1 
1.25 1.1 1.2 
1.3 1.02 1.3 
1.25 1 1.5 
1.27 1 1.35 
1.25  0.8 1.3 
1.3 0.65 1.25 
1.4  0.7 1.15 
1.5 0.75 1.1 
1.7 0.8 1 
1.75 0.8  1.1
1.8 0.7 1
1.9 0.7 0.8 
2 0.75 0.75
2.1 0.6 0.6 
2.25 0.42 0.8
2.4 0.25 0.75 


